symbol,name,isin,sector,industry,country,exchange
FTXD,,US33738R8299,,,,
FTXG,,US33738R8521,,,,
FTXH,,US33738R8372,,,,
FTXL,,US33738R8117,,,,
FTXN,,US33738R8455,,,,
FTXO,,US33738R8604,,,,
FTXR,,US33738R7952,,,,
FV,,US33738R6053,,,,
FVC,,US33738R8786,,,,
FYC,,US33737M3007,,,,
FYT,,US33737M4096,,,,
FYX,,US33734Y1091,,,,
GABC,,US3738651047,,,,
GAW,,INE076D01016,,,,
GEN,,AT0000824701,,,,
GENY,,US74255Y5087,,,,
GLDI,,US22542D4806,,,,
GLEN,,AU000000GC18,,,,
GLSPT,,KYG3934K1031,,,,
GMBTW,,KYG7315B1115,,,,
GNC,,US36191G1076,,,,
GNMA,,US46429B3336,,,,
GOODO,,US3765368846,,,,
GPACW,,CA7019051019,,,,
GPCOR,,EGS32161C019,,,,
GREEL,,RU000A0JNMZ0,,,,
GRG,,CH0000UGG123,,,,
GRID,,US33737A1088,,,,
HAACW,,SA121053VV10,,,,
HCICW,,EGS69261C013,,,,
HCIIW,,AU000000HGL2,,,,
HEWG,,US46434V7047,,,,
HHGCR,,CA42970W1077,,,,
HICL,,AU000000HIL8,,,,
HIK,,INE475B01022,,,,
HLAHW,,AU000000GPS0,,,,
HLMA,,DE0005297204,,,,
HMSO,,JP3846000002,,,,
HOVNP,,US4424871121,,,,
HSBA,,MT0000030107,,,,
HSL,,ARDEUT112257,,,,
HSV,,NET0000HSE01,,,,
HYLS,,US33738D4088,,,,
HYMCZ,,GB0001012045,,,,
HYPE3,,JP3765220003,,,,
HYZD,,US97717W4309,,,,
IBB,,US4642875565,,,,
IBST,,NET000INST24,,,,
ICLN,,US4642882249,,,,
IDLB,,US46138E7682,,,,
IEF,,US4642874402,,,,
IEI,,US4642886612,,,,
IEM,,GG00BTDYD136,,,,
IEUS,,US4642884971,,,,
IGF,,US4642883726,,,,
IGG,,SE0006091476,,,,
IGICW,,KR7000370007,,,,
IGOV,,US4642881175,,,,
IHYF,,FR0000054231,,,,
IJT,,US4642878874,,,,
IMAQR,,INE416L01017,,,,
IMCV,,JP3922100007,,,,
IMI,,AU0000054942,,,,
IMTXW,,NL0000440477,,,,
INDV,,INE684U01011,,,,
INDY,,US4642895290,,,,
INF,,JP3153850007,,,,
INFR,,US52468L7038,,,,
INVP,,PTINA0AP0008,,,,
IPKW,,US46138E6445,,,,
IPO,,US7599372049,,,,
ISHG,,US4642881258,,,,
ISLEW,,GB00BNLPYF73,,,,
ISTB,,US46432F8591,,,,
ITRK,,JP3144600008,,,,
ITV,,JP3048770006,,,,
IUSB,,US46434V6130,,,,
IUSG,,US4642876712,,,,
IUSV,,US4642876639,,,,
IWG,,AU000000NET8,,,,
IXUS,,US46432F8344,,,,
JAM,,AU000000JAL1,,,,
JD.,,NET0000JDD12,,,,
JDW,,DE000A0B9N37,,,,
JEO,,CNE1000013C9,,,,
JESC,,JP3386570000,,,,
JFJ,,KR7089590004,,,,
JSMD,,US47103U2096,,,,
JSML,,US47103U1007,,,,
JTC,,JP3386260008,,,,
JUP,,AU000000JPR6,,,,
JWAC,,AU000000JPR6,,,,
JWACR,,AU000000JPR6,,,,
KBWB,,US46138E6288,,,,
KBWD,,US46138E6106,,,,
KBWP,,US46138E5868,,,,
KBWR,,US46138E5785,,,,
KBWY,,US46138E5942,,,,
KGF,,DE0005706501,,,,
KLAQW,,CA48345H1055,,,,
KOR,,CA2210131058,,,,
KRMA,,US37954Y7316,,,,
LBPSW,,GB00BSVYN304,,,,
LFACU,,US50202D2018,,,,
LGEN,,JP3282850001,,,,
LIO,,SG1BD6000002,,,,
LLOY,,INE281B01032,,,,
LMAOW,,CA09000L1040,,,,
LMBS,,US33739Q2003,,,,
LMP,,GB00B12MHD28,,,,
LOVE,,US54738L1098,,,,
LPCN,,US53630X1046,,,,
LSEG,,NET000L3G3N3,,,,
LUXAW,,INE150G01020,,,,
LVHD,,US52468L4068,,,,
LXI,,AU000000AXI8,,,,
MAAQU,,US56168P2039,,,,
MAB,,DE000A2YPJN6,,,,
MBB,,US4642885887,,,,
MCEF,,US33740F5089,,,,
MCHI,,US46429B6719,,,,
MCRO,,US45409B2060,,,,
MDIV,,US33738R1005,,,,
